77,5,2016-02-04,2,1,4,3,801,1001,1,0,0,1,1,1,0,0,0,2,3,5,7,3,3,3,2,3,3
78,4,2016-02-05,14,20,15,13,1043,889,1,0,0,0,2,1,0,1,1,3,4,2,9,1,2,7,0,1,2
79,7,2016-02-05,1,4,14,10,1051,1011,1,0,0,0,5,0,1,1,4,1,3,3,6,5,5,3,3,4,1
80,7,2016-02-05,1,4,14,10,1186,704,0,0,2,1,3,2,1,1,2,5,2,1,5,5,6,2,2,4,2
81,4,2016-02-09,20,17,11,27,1131,863,1,0,0,1,2,1,1,0,2,3,5,2,6,6,1,2,5,3,2
82,4,2016-02-09,1,2,22,12,1072,698,1,0,0,0,3,0,1,0,1,1,5,1,8,2,3,1,6,2,1
83,4,2016-02-10,17,22,1,3,914,1014,0,0,1,0,1,1,0,1,2,3,3,3,4,7,4,2,1,2,6
84,4,2016-02-10,1,22,17,13,1061,355,0,0,1,0,1,1,1,0,2,4,2,0,1,6,0,5,0,2,1
85,4,2016-02-10,20,15,14,2,615,1015,1,0,0,1,0,0,0,0,1,2,4,3,7,3,0,3,1,4,2
86,4,2016-02-10,20,15,14,2,1010,984,0,2,1,0,2,1,0,0,2,3,1,6,3,9,1,3,4,5,0
87,4,2016-02-10,20,2,14,15,984,1010,1,0,2,0,2,1,0,0,5,3,0,4,6,6,5,2,3,4,3
88,7,2016-02-10,20,15,4,2,793,1041,0,2,0,0,1,3,0,1,0,4,2,5,8,3,1,3,3,2,3
89,7,2016-02-10,20,15,4,2,642,1038,0,0,0,0,2,1,0,0,3,2,3,2,2,8,2,0,3,5,2
90,7,2016-02-10,20,15,4,2,1013,271,0,0,0,1,1,2,1,0,0,3,4,0,3,4,2,3,2,0,2
91,8,2016-02-10,20,17,22,15,1074,1000,0,0,0,2,2,1,1,0,3,1,6,2,9,3,2,3,1,3,5
92,4,2016-02-11,20,22,15,1,603,1057,2,0,0,0,1,1,0,0,4,0,2,4,7,3,0,4,1,1,4
93,4,2016-02-12,20,15,23,22,1063,475,0,0,1,0,1,3,0,0,1,5,1,2,7,2,0,2,4,3,0
94,7,2016-02-13,20,26,25,15,698,1052,0,0,2,0,0,3,0,1,2,1,3,4,8,2,3,2,0,3,5
95,7,2016-02-13,20,26,25,15,1106,586,0,1,1,2,0,1,0,0,4,1,4,2,8,3,1,2,4,2,3
96,4,2016-02-15,20,23,14,15,1060,662,1,0,1,1,1,1,0,0,1,3,6,1,7,4,1,4,3,2,2
97,5,2016-02-16,1,12,13,3,960,1064,0,0,2,1,1,3,0,0,4,2,4,2,9,3,1,1,2,4,5
98,4,2016-02-17,15,20,14,26,1022,1004,2,0,0,0,1,0,0,0,4,3,3,2,8,4,1,6,4,1,1
99,7,2016-02-19,20,14,1,10,893,1077,0,1,1,0,1,3,1,2,5,3,1,1,9,1,4,2,3,4,0
100,4,2016-01-28,23,28,11,20,296,716,0,1,0,0,1,1,0,0,2,0,1,3,6,0,0,2,1,0,3
101,5,2016-02-13,3,29,2,30,979,1025,0,0,0,0,0,3,0,0,2,2,3,5,9,3,0,4,2,3,3
112,7,2016-02-18,1,14,12,15,573,1015,1,0,0,0,0,2,0,1,1,2,5,1,4,5,1,4,1,2,2
113,7,2016-02-18,14,12,15,1,1146,594,0,0,1,0,1,0,1,0,1,4,3,2,7,3,2,3,2,3,2
114,7,2016-02-28,21,2,11,27,1080,756,0,0,0,1,2,0,1,1,1,3,0,6,7,3,0,5,0,2,3
115,7,2016-02-28,21,2,11,27,1044,858,0,1,0,0,1,0,2,0,3,2,2,4,6,5,3,2,3,3,3
116,7,2016-02-29,1,12,4,2,860,1022,1,1,0,0,3,1,0,0,4,1,4,2,8,3,2,5,2,1,3
118,7,2016-01-29,1,10,3,15,0,0,0,0,0,0,0,0,0,0,,,
119,7,2016-02-29,20,10,15,1,1057,713,0,0,1,1,2,1,0,1,4,2,2,2,8,2,4,3,2,3,2
124,4,2016-03-01,3,20,10,21,1166,928,1,0,0,1,2,2,1,0,3,3,4,2,9,3,2,1,5,4,2
125,9,2016-02-01,1,20,14,15,0,0,0,0,0,0,0,0,0,0,,,
126,4,2016-03-02,20,13,1,4,1023,423,0,0,0,0,3,0,1,0,1,3,4,0,4,3,2,3,3,1,1
127,4,2016-03-01,4,13,2,14,1050,862,0,1,0,1,1,4,1,0,3,3,2,2,10,1,2,1,4,3,3
128,4,2016-03-02,3,14,2,10,1099,885,0,0,1,1,1,1,0,0,6,3,0,3,11,1,0,0,4,4,4
134,4,2016-02-04,17,20,2,3,0,0,0,0,0,0,0,0,0,0,,,
130,7,2016-03-02,15,20,22,14,1045,595,0,0,0,2,0,1,0,0,2,2,3,3,6,4,3,2,2,1,5
131,7,2016-03-02,20,14,15,22,1036,786,0,0,0,0,1,1,0,0,2,0,4,5,7,4,1,4,4,3,0
133,1,2016-02-03,4,24,1,25,0,0,0,0,0,0,0,0,0,0,,,
135,4,2016-02-04,17,20,3,2,0,0,0,0,0,0,0,0,0,0,,,
136,4,2016-02-04,17,20,2,3,0,0,0,0,0,0,0,0,0,0,,,
137,7,2016-02-05,1,21,20,3,0,0,0,0,0,0,0,0,0,0,,,
138,7,2016-02-05,1,21,20,3,0,0,0,0,0,0,0,0,0,0,,,
139,7,2016-02-05,1,21,3,20,0,0,0,0,0,0,0,0,0,0,,,
140,4,2016-03-04,14,13,12,31,824,1094,1,0,0,0,1,1,0,0,2,3,2,3,11,0,2,3,2,2,4
141,7,2016-03-05,15,22,14,10,1089,449,0,0,0,0,3,1,0,0,1,2,4,2,8,1,0,5,2,0,2
142,7,2016-03-05,15,22,14,10,475,1003,1,1,0,0,1,0,0,0,1,3,2,3,7,2,0,1,3,5,0
